Spacecraft,EventID,EventStartUTC,EventEndUTCInclusive,PlotStartUTC,PlotEndUTCExclusive,MAG1hSourceFileCount,MAG1hRecords,MAGDailyMeanDays,COHOSourceFileCount,COHORecords,DirectPlasmaVariables,FigureFile,PitchAngleDataFile,Status,Notes
1,Case1-S02-L08,2018-11-10,2018-11-10,2018-11-03,2018-11-18,1,80,14,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L08_20181110_20181110_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L08_20181110_20181110_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S02-L09,2018-12-12,2018-12-12,2018-12-05,2018-12-20,1,110,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S02-L09_20181212_20181212_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S02-L09_20181212_20181212_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S03-L01,2019-05-02,2019-05-02,2019-04-25,2019-05-10,2,122,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S03-L01_20190502_20190502_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S03-L01_20190502_20190502_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S03-L02,2019-05-27,2019-05-27,2019-05-20,2019-06-04,2,136,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S03-L02_20190527_20190527_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S03-L02_20190527_20190527_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S03-L03,2019-05-30,2019-05-30,2019-05-23,2019-06-07,2,119,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S03-L03_20190530_20190530_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S03-L03_20190530_20190530_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S03-L04,2019-06-13,2019-06-13,2019-06-06,2019-06-21,1,86,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S03-L04_20190613_20190613_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S03-L04_20190613_20190613_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S03-L05,2019-06-24,2019-06-24,2019-06-17,2019-07-02,2,63,12,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S03-L05_20190624_20190624_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S03-L05_20190624_20190624_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S03-L06,2019-08-26,2019-08-26,2019-08-19,2019-09-03,2,74,13,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S03-L06_20190826_20190826_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S03-L06_20190826_20190826_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S04-L01,2021-01-06,2021-01-06,2020-12-30,2021-01-14,2,51,8,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S04-L01_20210106_20210106_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S04-L01_20210106_20210106_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S04-L02,2021-05-06,2021-05-06,2021-04-29,2021-05-14,2,142,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S04-L02_20210506_20210506_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S04-L02_20210506_20210506_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S04-L03,2021-05-17,2021-05-17,2021-05-10,2021-05-25,1,141,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S04-L03_20210517_20210517_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S04-L03_20210517_20210517_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
