Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,Status,MAGFile,MAGRecords,PLSFile,PLSRecords,COHOFile,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,FigureFile,Notes,MAGLowPrecisionFilled,MAGInterpolated,COHOInterpolated
1,2014-04-01,2014-04-01,2014-05-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,21165,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\04\voyager1_coho1hr_merged_mag_plasma_20140401_v01.cdf,0,3,921,15,7020,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-04.png,,129956,0,6949
1,2014-05-01,2014-05-01,2014-06-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,20139,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\05\voyager1_coho1hr_merged_mag_plasma_20140501_v01.cdf,0,3,1035,15,7920,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-05.png,,141528,0,6532
1,2014-06-01,2014-06-01,2014-07-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,19721,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\06\voyager1_coho1hr_merged_mag_plasma_20140601_v01.cdf,0,3,943,15,7200,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-06.png,,135880,0,6817
1,2014-07-01,2014-07-01,2014-08-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,19346,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\07\voyager1_coho1hr_merged_mag_plasma_20140701_v01.cdf,0,3,928,15,7830,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-07.png,,144124,0,6719
1,2014-08-01,2014-08-01,2014-09-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,19477,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\08\voyager1_coho1hr_merged_mag_plasma_20140801_v01.cdf,0,3,971,15,8730,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-08.png,,143856,0,5781
1,2014-09-01,2014-09-01,2014-10-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,12362,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\09\voyager1_coho1hr_merged_mag_plasma_20140901_v01.cdf,0,3,727,15,6120,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-09.png,,165280,0,8583
1,2014-10-01,2014-10-01,2014-11-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,10898,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\10\voyager1_coho1hr_merged_mag_plasma_20141001_v01.cdf,0,3,554,15,4770,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-10.png,,178700,0,10833
1,2014-11-01,2014-11-01,2014-12-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,8494,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\11\voyager1_coho1hr_merged_mag_plasma_20141101_v01.cdf,0,3,468,15,5220,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-11.png,,181204,0,10072
1,2014-12-01,2014-12-01,2015-01-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2014\voyager1_48s_mag-vim_20140101_v01.cdf,10231,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\12\voyager1_coho1hr_merged_mag_plasma_20141201_v01.cdf,0,3,545,15,5130,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2014\Voyager1_VLISM_2014-12.png,,181268,0,10552
1,2015-01-01,2015-01-01,2015-02-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,15423,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\01\voyager1_coho1hr_merged_mag_plasma_20150101_v01.cdf,0,3,759,15,7650,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-01.png,,159976,0,7383
