B_north                 B_east                 B_down                 dB_north                 dB_east                 dB_down
16146.50317263343     -2115.5193424776135     39950.7369786818     0.26742736657070054     -0.03775752238652785     -0.379978681798093     
16145.910663995037     -2115.5188757811848     39951.48215214162     0.27163600496351137     -0.022224218815154018     -0.4038521416223375     
16145.32106658432     -2115.517483124934     39952.22579504342     0.28233341568011383     0.002383124934112857     -0.3825950434184051     
16144.736217053074     -2115.5177378347557     39952.9688021193     0.27868294692598283     0.01683783475573364     -0.3586021192968474     
16144.150509419145     -2115.517552165113     39953.711757141624     0.311990580854399     0.012352165113043156     -0.3777571416212595     
16143.566062075393     -2115.516977410649     39954.45639865947     0.2980379246073426     0.015877410648954537     -0.39909865947265644     
16142.979825178074     -2115.5153536383277     39955.20061267734     0.2912748219259811     0.004953638327606313     -0.3531126773377764     
16142.389063146822     -2115.5112068079698     39955.94651763269     0.3003368531772139     0.027006807969883084     -0.34471763269539224     
16141.798834486113     -2115.5062870535066     39956.69354756573     0.26396551388643275     0.045587053506551456     -0.3384475657294388     
16141.209543905748     -2115.5027848660056     39957.43858466394     0.2645560942510201     0.024984866005524964     -0.374384663940873     
16140.620535066462     -2115.499278102613     39958.18225522198     0.28126493353738624     -0.006421897387099307     -0.3902552219806239     
16140.032523012891     -2115.4978195535064     39958.92704901664     0.3067769871086057     -0.03878044649354706     -0.3182490166364005     
16139.444886673602     -2115.498105156184     39959.67431790056     0.32071332639861794     -0.04429484381580551     -0.336717900558142     
16138.859118303077     -2115.4981815624346     39960.4212760702     0.3003816969230684     -0.03931843756527087     -0.3927760701990337     
16138.271087767358     -2115.4977570311835     39961.167577141634     0.27371223264162836     -0.024742968816553912     -0.43457714163378114     
16137.680603012892     -2115.498441004398     39961.91255566841     0.30559698710749217     0.025641004398039513     -0.41885566840937827     
16137.088625445931     -2115.4978997767203     39962.654105378235     0.35417455406968656     0.02899977672041132     -0.3472053782315925     
16136.496945312     -2115.493585312435     39963.39820988716     0.3158546880003996     -0.025714687565141503     -0.35370988715294516     
16135.905110423613     -2115.4865690624342     39964.1457064943     0.2802895763870765     -0.016330937565726344     -0.40900649430113845     
16135.313008213785     -2115.4799247543983     39964.89305348091     0.29499178621517785     0.034924754398161895     -0.40345348091068445     
