Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,SourceCDF,EpochRecords,MagneticRecords,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
1,2014-08-01,2014-08-01,2014-09-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\08\voyager1_coho1hr_merged_mag_plasma_20140801_v01.cdf,744,326,0,3,971,15,8730,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-08.png,ok,
1,2014-09-01,2014-09-01,2014-10-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\09\voyager1_coho1hr_merged_mag_plasma_20140901_v01.cdf,720,226,0,3,727,15,6120,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-09.png,ok,
1,2014-10-01,2014-10-01,2014-11-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\10\voyager1_coho1hr_merged_mag_plasma_20141001_v01.cdf,744,191,0,3,554,15,4770,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-10.png,ok,
1,2014-11-01,2014-11-01,2014-12-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\11\voyager1_coho1hr_merged_mag_plasma_20141101_v01.cdf,720,160,0,3,468,15,5220,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-11.png,ok,
1,2014-12-01,2014-12-01,2015-01-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2014\12\voyager1_coho1hr_merged_mag_plasma_20141201_v01.cdf,744,177,0,3,545,15,5130,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2014-12.png,ok,
1,2015-01-01,2015-01-01,2015-02-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\01\voyager1_coho1hr_merged_mag_plasma_20150101_v01.cdf,744,264,0,3,759,15,7650,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-01.png,ok,
1,2015-02-01,2015-02-01,2015-03-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\02\voyager1_coho1hr_merged_mag_plasma_20150201_v01.cdf,672,284,0,3,875,15,7380,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-02.png,ok,
1,2015-03-01,2015-03-01,2015-04-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\03\voyager1_coho1hr_merged_mag_plasma_20150301_v01.cdf,744,351,0,3,1042,15,7740,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-03.png,ok,
1,2015-04-01,2015-04-01,2015-05-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\04\voyager1_coho1hr_merged_mag_plasma_20150401_v01.cdf,720,334,0,3,968,15,7740,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-04.png,ok,
1,2015-05-01,2015-05-01,2015-06-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\05\voyager1_coho1hr_merged_mag_plasma_20150501_v01.cdf,744,305,0,3,920,15,7650,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-05.png,ok,
